log,features,num_features,malr_2018,mlr_2018,R2_2018,malr_2019,mlr_2019,R2_2019,malr_2020,mlr_2020,R2_2020,malr_2021,mlr_2021,R2_2021,malr_2022,mlr_2022,R2_2022,malr,mlr,R2,abs_mlr
Y,Tot_HCPCS_Cds,1,1.0071400951310256,0.0053041792677708,0.2361885244009237,1.0080845766319526,-0.0124872208182914,0.2322496764512684,1.022813760277733,0.1373941798948759,0.2109923189264525,0.9953061848961032,-0.0712943523103762,0.2159112626312072,0.9970863072647088,0.0044770331726716,0.2157428774870453,1.0060861848403049,0.0126787638413301,0.2222169319793794,0.0126787638413301
Y,Tot_Benes,1,1.1477159022840584,0.0374094913924677,0.0163921712415515,1.1431265885837285,0.0237189936208164,0.0153063091528156,1.1486495412366604,0.171442519327109,0.0017926324180191,1.1067488539686283,-0.0182948056189719,0.0128177653014894,1.110899358559871,0.0614425147294097,0.0073990675566404,1.131428048926589,0.0551437426901662,0.0107415891341032,0.0551437426901662
Y,Tot_Srvcs,1,1.1508664093589804,0.0382739577043454,0.0188719464923798,1.1460821339050935,0.0251058291785201,0.0105793763875692,1.1518521228950114,0.1730123710091678,-0.0095049641900195,1.1097719242327733,-0.0153993956447981,0.0121712978845118,1.1145019810477244,0.0620793169625254,0.0121510122837817,1.1346149142879167,0.0566144158419521,0.0088537337716446,0.0566144158419521
Y,Tot_Sbmtd_Chrg,1,1.1286086518415166,0.0400632232488941,0.0420856639089874,1.1238702930132578,0.0269300340758301,0.0423981878783357,1.127798028757083,0.1757585274687627,0.0281083917020062,1.0898433852749332,-0.0163351745819433,0.0417295250168513,1.0924356755900668,0.06363598301901,0.0357011187519031,1.1125112068953713,0.0580105186461107,0.0380045774516168,0.0580105186461107
Y,Tot_Mdcr_Alowd_Amt,1,1.0964301687925355,0.0366466130280418,0.0919104432133337,1.091708091949556,0.0238675460929968,0.085664526066634,1.093119429118313,0.1736077142187189,0.0734286342608422,1.0619017061784428,-0.0217340257591971,0.0838940721954565,1.0613656536506006,0.0622328384147995,0.0728783038653412,1.0809050099378896,0.054924137199072,0.0815551959203215,0.054924137199072
Y,Tot_Mdcr_Pymt_Amt,1,1.112599334931247,0.0367802987274716,0.0711033299329676,1.1076209669951051,0.0240630005019947,0.0656059054326138,1.1099124463943568,0.173362643378293,0.0531768513769226,1.0752118307699188,-0.0196768021590869,0.0652151639558555,1.0758963898236855,0.0630968776139684,0.0543003801678124,1.0962481937828628,0.0555252036125281,0.0618803261732344,0.0555252036125281
Y,Bene_Avg_Age,1,1.0930991176489573,0.0611535086434943,0.0944403685743129,1.0868532320460935,0.0546499444015244,0.0963261740334506,1.1013962179252976,0.2224474609850543,0.0684004084067742,1.044959376598405,0.0386454787755576,0.0999456721462688,1.054881461883606,0.1407546162289841,0.0888130450166807,1.076237881220472,0.1035302018069229,0.0895851336354974,0.1035302018069229
Y,Bene_Avg_Risk_Scre,1,1.1397543502463985,0.0684217508000466,0.0167500662332156,1.1375787048021702,0.0514242511987218,0.0139202950383472,1.1480941568156149,0.2015887197610481,-0.0038378812218686,1.116813522940915,0.0123140203991541,-0.0075627444016435,1.1215003086571964,0.0497251345825801,-0.0031501996759362,1.132748208692459,0.0766947753483101,0.0032239071944228,0.0766947753483101
Y,pca_1,1,1.1107008722773128,0.0386642239269533,0.0675555499979068,1.106139483153123,0.0257409815099451,0.0660536790521336,1.1086729136598563,0.1750996129382215,0.0533907004679662,1.0742787400679936,-0.0189293237076425,0.0660032582748417,1.0751537837828622,0.0631325859228924,0.058598207268304,1.0949891585882296,0.0567416161180739,0.0623202790122304,0.0567416161180739
Y,Tot_Risk,1,1.1389177889608764,0.0384397672556447,0.0250334685788458,1.1345499969853778,0.0243551405405518,0.0236156580694141,1.1397992374078751,0.1722737890229708,0.0092505954287521,1.1000931456972856,-0.019241133950513,0.0194594105910936,1.1056123383983305,0.0579842155985259,0.0155282266313581,1.123794501489949,0.054762355693436,0.0185774718598927,0.054762355693436
