log,features,num_features,malr_2018,mlr_2018,R2_2018,malr_2019,mlr_2019,R2_2019,malr_2020,mlr_2020,R2_2020,malr_2021,mlr_2021,R2_2021,malr_2022,mlr_2022,R2_2022,malr,mlr,R2,abs_mlr
Y,Log_Tot_Benes,1,1.274560098967813,-0.3278395906605658,-0.3110994255189221,1.279060114729111,-0.3561040337794912,-0.3269641902401101,1.2718891191047847,-0.164981587200071,-0.2872544849197731,1.321995963474636,-0.627579985535029,-0.506096762698075,1.3656746102934731,-0.3767737941337922,-0.5659991766579371,1.3026359813139634,-0.3706557982617898,-0.3994828080069635,0.3706557982617898
Y,Log_Tot_Srvcs,1,1.194573859447824,-0.3188246593699343,-0.1142017708229135,1.198317878343541,-0.3441190377418239,-0.1255726959100562,1.1901225942399845,-0.1537691055494,-0.098848164148523,1.2772653636964777,-0.5891338566586246,-0.2944977084650746,1.2425721603965585,-0.3701060909830085,-0.2406657462928247,1.220570371224877,-0.3551905500605582,-0.1747572171278784,0.3551905500605582
Y,Log_Tot_Sbmtd_Chrg,1,0.6140785592610102,0.0498388305443132,0.679379673952665,0.6135884804739129,0.0415260129539176,0.6792572120273426,0.6717716226230649,0.2234745168204494,0.6206163984211461,0.6696433556655224,-0.0969612498831917,0.6000027226713787,0.6311638749065305,0.0757081349430636,0.6438226559921159,0.6400491785860082,0.0587172490757104,0.6446157326129296,0.0587172490757104
Y,Log_Tot_Mdcr_Alowd_Amt,1,0.3794410585279629,0.0010901794426286,0.8135323092025892,0.3755528163962463,-0.0161747965305296,0.81517330030705,0.4604140482554827,0.1684824799909745,0.7738134201677519,0.4353944606771206,-0.1601484056157041,0.7666797480792049,0.4083731385655871,0.0413111923443505,0.7848215245178265,0.4118351044844799,0.006912129926344,0.7908040604548845,0.006912129926344
Y,Log_Tot_Mdcr_Pymt_Amt,1,0.3688363557121354,-0.0122209028367401,0.8161156906393587,0.3685374174101,-0.0267467307947497,0.8164911087073513,0.4464543970172357,0.1626626548111313,0.780846657372399,0.436802416663283,-0.1731902716830394,0.7688614114840743,0.4049203796125829,0.0477940174959255,0.7837683130824004,0.4051101932830675,-0.0003402466014944,0.7932166362571167,0.0003402466014944
Y,Log_Tot_Risk,1,1.3914767102871244,-0.284329874012776,-0.4820112927129802,1.3914212246779765,-0.3163939008768203,-0.4940964100421341,1.3847137258583473,-0.1181732364425999,-0.4482606235252371,1.453464738396398,-0.5679503017401302,-0.7180601241441624,1.4481230565362022,-0.4665715017981933,-0.6981917248324003,1.4138398911512098,-0.350683762974104,-0.5681240350513829,0.350683762974104
Y,"Log_Tot_Mdcr_Pymt_Amt,Tot_HCPCS_Cds",2,0.3698279733935679,-0.0088494801171831,0.8164624955679943,0.3697324451535349,-0.0232833589962653,0.8168085790085682,0.4463880733204783,0.1660485870009756,0.7805619436210891,0.4363161924334302,-0.1697626068609267,0.7702919826019251,0.4062710681543187,0.0524674280502635,0.7836160383126115,0.405707150491066,0.0033241138153727,0.7935482078224376,0.0033241138153727
Y,"Log_Tot_Mdcr_Pymt_Amt,Tot_Benes",2,0.3688129079304831,-0.0120517748057704,0.8161384971434185,0.3685095295525699,-0.0265721330449586,0.8165186737870795,0.4464354580751959,0.1628342597759211,0.7808228175142855,0.4367442380526652,-0.1729596519965678,0.7689250957368068,0.4048876570312569,0.0479551606547816,0.7838129161468264,0.4050779581284341,-0.0001588278833188,0.7932436000656834,0.0001588278833188
Y,"Log_Tot_Mdcr_Pymt_Amt,Tot_Srvcs",2,0.3688845292686704,-0.0120991029755716,0.8161222749913777,0.3685585138706101,-0.0266416522538686,0.8165027810652509,0.4465612309634971,0.1627530449768536,0.780797002251169,0.4367649415482387,-0.1731046456727563,0.7688981001663616,0.4049379086202101,0.0478880762594545,0.7837750583717576,0.4051414248542453,-0.0002408559331776,0.7932190433691833,0.0002408559331776
Y,"Log_Tot_Mdcr_Pymt_Amt,Tot_Sbmtd_Chrg",2,0.3688410528479836,-0.011990029616701,0.8161433456394214,0.368528614584078,-0.0265390274516014,0.8165292258248191,0.4464662491096773,0.1628324947043037,0.7808018429949486,0.4366795364860276,-0.1729309094602895,0.7689982252804234,0.4049519069753751,0.0480306863014191,0.7837768584422471,0.4050934720006284,-0.0001193571045738,0.7932498996363719,0.0001193571045738
